formulation,raman_shift_cm_1,offset_intensity_au
Formulation D,982.839,2.5924
Formulation D,983.612,2.58688
Formulation D,984.384,2.58132
Formulation D,985.157,2.57572
Formulation D,985.929,2.57011
Formulation D,986.701,2.56451
Formulation D,987.474,2.55894
Formulation D,988.246,2.55344
Formulation D,989.019,2.54805
Formulation D,989.791,2.54281
Formulation D,990.564,2.53775
Formulation D,991.336,2.53291
Formulation D,992.109,2.52834
Formulation D,992.881,2.52409
Formulation D,993.653,2.52018
Formulation D,994.426,2.51665
Formulation D,995.198,2.51354
Formulation D,995.971,2.51089
Formulation D,996.743,2.5087
Formulation D,997.516,2.50702
Formulation D,998.288,2.50585
Formulation D,999.061,2.5052
Formulation D,999.833,2.50508
Formulation D,1000.605,2.5055
Formulation D,1001.378,2.50644
Formulation D,1002.15,2.50789
Formulation D,1002.923,2.50983
Formulation D,1003.695,2.51225
Formulation D,1004.468,2.5151
Formulation D,1005.24,2.51837
Formulation D,1006.013,2.52201
Formulation D,1006.785,2.52597
Formulation D,1007.557,2.53022
Formulation D,1008.33,2.53469
Formulation D,1009.102,2.53935
Formulation D,1009.875,2.54413
Formulation D,1010.647,2.54898
Formulation D,1011.42,2.55384
Formulation D,1012.192,2.55866
Formulation D,1012.965,2.56337
Formulation D,1013.737,2.56793
Formulation D,1014.509,2.57228
Formulation D,1015.282,2.57637
Formulation D,1016.054,2.58015
Formulation D,1016.827,2.58358
Formulation D,1017.599,2.58662
Formulation D,1018.372,2.58923
Formulation D,1019.144,2.59138
Formulation D,1019.916,2.59305
Formulation D,1020.689,2.59421
Formulation D,1021.461,2.59486
Formulation D,1022.234,2.59498
Formulation D,1023.006,2.59458
Formulation D,1023.779,2.59366
Formulation D,1024.551,2.59222
Formulation D,1025.324,2.5903
Formulation D,1026.096,2.5879
Formulation D,1026.868,2.58506
Formulation D,1027.641,2.58181
Formulation D,1028.413,2.57819
Formulation D,1029.186,2.57424
Formulation D,1029.958,2.57001
Formulation D,1030.731,2.56554
Formulation D,1031.503,2.56089
Formulation D,1032.276,2.55611
Formulation D,1033.048,2.55127
Formulation D,1033.82,2.5464
Formulation D,1034.593,2.54158
Formulation D,1035.365,2.53686
Formulation D,1036.138,2.53229
Formulation D,1036.91,2.52793
Formulation D,1037.683,2.52383
Formulation D,1038.455,2.52003
Formulation D,1039.228,2.51658
Formulation D,1040.0,2.51352
